Author,News_statement,Source,Validity_Check
Jeff Cercone,“In America our own (central bank digital currency) system is going to be launching July 1. It’s called the FedNow payment system.”,TikTok posts,Fake
Ciara O'Rourke,Video proves John F. Kennedy Jr. is alive.,Viral image,Fake
Ciara O'Rourke,Video shows John F. Kennedy Jr. in a “real presidential convoy.”,Facebook posts,Fake
Ciara O'Rourke,Cash App founder Bob Lee’s death is connected to FedNow.,Instagram posts,Fake
Marta Campabadal,“¡Florida emergencia! Huracán Ian golpe directo”.,Facebook posts,Fake
Jeff Cercone,A video shows a steamroller destroying Bud Light cases in relation to Anheuser-Busch’s partnership with a trans person.,Instagram posts,Fake
Maria Briceño,“La NASA advierte que el sol podría dejar de brillar y causar una catástrofe”.,Facebook posts,Fake
Ciara O'Rourke,The person purporting to be Tiffany Dover is an impostor.,Viral image,Fake
Tom Kertscher,HIV is not contagious.,Facebook posts,Fake
Marta Campabadal,"""Latino, inmigrante, recién llegado … Si eres inmigrante en Estados Unidos y llevas más de tres meses ahí, podrías calificar para obtener cupones de comida”.",Facebook posts,Fake
Samantha Putterman,Abortion pills are dangerous and “1 in 5 women will suffer a complication.”,Alliance Defending Freedom,Fake
Jeff Cercone,"Lead paint was not banned to protect children’s health, but because it would protect people from radiation.",Facebook posts,Fake
Grace Abels,New Kansas law will “authorize genital inspections of children in order for kids to play sports.”,Tweets,Fake
Louis Jacobson,Actions of the Tennessee state legislators who protested against gun violence were “at least equivalent” to the actions of the Jan. 6 insurrectionists.,Cameron Sexton,Fake
Maria Briceño,"El presidente Joe Biden dijo, “estamos quebrados, completamente quebrados. Agarren su dinero del banco, sáquenlo, sáquenlo ya”.",Facebook posts,Fake
Ciara O'Rourke,“Nike lost a lawsuit against antisemitism and has to give away gift cards to its customers.”,Facebook posts,Fake
Ciara O'Rourke,Video shows U.S. Rep. Jim Jordan slapping special counsel Robert Mueller.,Facebook posts,Fake
Ciara O'Rourke,Video shows footage of the war in Ukraine.,Facebook posts,Fake
Ciara O'Rourke,“FEMA camps are open for the upcoming arrests for crimes against humanity.”,Facebook posts,Fake
Sara Swann,“Canada just made it illegal to protest against the LGBT!”,Facebook posts,Fake
Marta Campabadal,“La OTAN ordena apuntar misiles a Rusia y Putin ordena a su ejército invadir Finlandia!”,Facebook posts,Fake
Ciara O'Rourke,Video shows Sen. Chris Murphy running away because Sen. Ted Cruz said “just shut your mouth.”,Facebook posts,Fake
Maria Briceño,“Joe Biden liberará a reos tras visita de Marco Rubio a El Salvador”.,Facebook posts,Fake
Amy Sherman,"When migrants arrived on Martha’s Vineyard, “They called out the National Guard and deported them within 24 hours.”",Ron DeSantis,Fake
Ciara O'Rourke,A photo shows Jeffrey Epstein with four boys on a beach.,Tweets,Fake
Louis Jacobson,“The 5 states with the highest gun homicide rates in the nation all have loose gun laws” while “the 5 states with the lowest rates have some of the toughest laws.”,Chris Murphy,Real
Jeff Cercone,"Video shows ""HAARP gets destroyed” by protesters.",Instagram posts,Fake
Gabrielle Settles,Elon Musk said a new Tesla feature can scan testicles and use that information “to biometrically unlock and start the car.”,Instagram posts,Fake
Sara Swann,“Anheuser-Busch CEO resigns” after Bud Light partners with transgender social media influencer Dylan Mulvaney.,Facebook posts,Fake
Ciara O'Rourke,“Hillary Clinton indicted.”,Facebook posts,Fake
Jill Terreri,Manhattan District Attorney Alvin Bragg “has downgraded over 50% of the felonies to misdemeanors.”,Ron DeSantis,Real
Madison Czopek,U.S. public schools don't teach the Declaration of Independence.,Facebook posts,Fake
Paul Specht,“North Carolina ranks last in the country in K-12 funding.”,North Carolina state House Democratic Caucus,Fake
Jeff Cercone,"""Vitamins aren’t FDA approved, but Twinkies are.”",Facebook posts,Fake
Loreben Tuquero,There have been no new COVID-19 variants since Dr. Anthony Fauci retired.,Instagram posts,Fake
Grace Abels,“Florida man charged with a hate crime” for defacing pride crosswalk.,Tweets,Fake
Sara Swann,Pouring soda on raw pork will cause parasites to emerge.,Facebook posts,Fake
Gabrielle Settles,"A video shows Florida Gov. Ron DeSantis saying, “Now Trump’s been indicted, now the people will have no choice but to accept me as their assigned candidate.”",TikTok posts,Fake
Sara Swann,"A doctor tweeted that she doesn’t regret giving the COVID-19 vaccine, “even if it turns out I injected you with actual poison and you only have days to live.”",Instagram posts,Fake
Jeff Cercone,"Report proves that COVID-19 vaccines caused 300,000 excess deaths in 2022.",Instagram posts,Fake
Madison Czopek,“President Trump is officially a political prisoner.”,Tom Fitton,Fake
Amy Sherman,"Regarding Trump’s January 2021 telephone call with Georgia election officials, “nobody found anything wrong with that perfect call until a book promotion tour many months later.”",Donald Trump,Fake
Louis Jacobson,"“In the next two years, we'll spend more on interest on our national debt than we do on the national defense.”",Mike Pence,Real
Maria Ramirez,"“Title 42 and other Trump-era holdovers are forcing migrants into dangerous, overcrowded conditions in Mexico.”",Joaquin Castro,Real
Maria Briceño,“La mayor parte” del fentanilo que llega a los puertos de Estados Unidos viene desde Canadá.,Facebook posts,Fake
Ciara O'Rourke,Video shows a crowd erupting and Hillary Clinton crying during a committee hearing.,Facebook posts,Fake
Ciara O'Rourke,Video shows Homeland Security Secretary Alejandro Mayorkas crying after a question from an aide to former President Donald Trump.,Facebook posts,Fake
Ciara O'Rourke,A video shows President Joe Biden “getting off plane with little boy dressed like girl.”,Viral image,Fake
Samantha Putterman,White House Press Secretary Karine Jean-Pierre was involved in a covered-up DUI accident,Tweets,Fake
Madison Czopek,Video clip shows that protesters in Tennessee “made their way onto the state capitol floor.”,Laura Ingraham,Fake
Loreben Tuquero,The FedNow program “is going to replace your paper currency.”,Facebook posts,Fake
Conor Amendola,Sullivan County “has the highest opioid death rate in all of New York state” yet “it’s the only county in the Hudson Valley not included in the federal High-Intensity Drug Trafficking Area” program.,Charles Schumer,Real
Samantha Putterman,"Joe Biden received a military funeral service Jan. 20, 2021",Facebook posts,Fake
Ciara O'Rourke,Videos show former Secretary of State Hillary Clinton discussing a glass dome over Earth.,Instagram posts,Fake
Ciara O'Rourke,“Pelosi cries like a kid after Trump’s lawyer proves her client ‘innocence.’”,Facebook posts,Fake
Ciara O'Rourke,“Brittney Griner’s shocking detention photos leaked online.”,Facebook posts,Fake
Ciara O'Rourke,"U.S. Rep. Jim Jordan, R-Ohio, “sends Biden straight to jail.”",Facebook posts,Fake
Ciara O'Rourke,Former President Donald Trump is actually another man wearing a Trump mask.,Facebook posts,Fake
Gabrielle Settles,"Morgan Freeman called out Joe Biden for talking about “ice cream” before commenting on the Nashville, Tennessee, school shooting.",TikTok posts,Fake
Marta Campabadal,“Hay un nuevo virus regado en China donde los humanos se convierten en zombis”.,Instagram posts,Fake
Amy Sherman,"In the U.S., “you’re not allowed to own a machine gun.”",Joe Biden,Fake
Loreben Tuquero,"Rep. Alexandria Ocasio-Cortez, D-N.Y., “is now worth $29 million dollars.”",Facebook posts,Fake
Yacob Reyes,"Gov. Ron DeSantis sealed ""all beaches"" in Florida.",Donald Trump,Fake
Amy Sherman,Former President Donald Trump “instructed all the governors to shut down” because of the COVID-19 pandemic.,Jared Moskowitz,Real
Tom Kertscher,Solar companies “have to give solar panels away for completely no net cost.”,Facebook posts,Fake
Andy Nguyen,DO Black credit card is part of a government plot to control people’s lives.,Facebook posts,Fake
Loreben Tuquero,The Nashville shooter was wearing different pairs of shoes before and after being killed.,Social Media,Fake
Madison Czopek,“The UK has had ZERO school shootings since” it changed its gun laws after a 1996 school shooting.,Instagram posts,Real
Gabrielle Settles,Video shows Florida Gov. Ron DeSantis saying he made certain political choices because “that’s where the money is.”,Facebook posts,Fake
Marta Campabadal,“Enorme ejércitos polacos de 100 mil … entran en la frontera rusa”.,Facebook posts,Fake
Loreben Tuquero,Video shows President Joe Biden talking about what “stable Jesus” said about airports.,Instagram posts,Fake
Aarón Torres,"When discussing education savings accounts, ""We would be 31st in the nation to have these policies going forward on behalf of kids.”",Brandon Creighton,Real
Madison Czopek,"Photo of person holding sign shows the shooter who killed six people at a Nashville, Tennessee, school.",Facebook posts,Fake
Louis Jacobson,“We have a national debt the size of our nation’s economy for the first time since World War II.”,Mike Pence,Real
Tom Kertscher,Images show a great white shark on the beach in North Carolina.,Facebook posts,Fake
Jeff Cercone,Video shows zombie virus outbreak in China.,Instagram posts,Fake
Loreben Tuquero,"A photo shows former President Barack Obama’s “old boyfriend,” to whom he paid “hush money.”",Instagram posts,Fake
Amy Sherman,“Gun violence is the number one killer of children and teens — it has overtaken cars.”,Ashbey Beasley,Real
Cameron Carr,“Every single county in New York has experienced a federal climate disaster between 2011-2021.”,Rebuild by Design,Real
Marnique O.,“A proposal in Syracuse would pay gang members $100-$200 per week to stay out of trouble.”,William Barclay,Real
Tom Kertscher,"Climate change is caused by corporations using ""weather modification patents.”",Instagram posts,Fake
Madeline Heim,"At a Wisconsin school, a 12-year-old girl ""was transitioned into a boy by school officials without parental consent,"" and Protasiewicz supports it.",American Principles Project,Fake
Jeff Cercone,Images show “Putin has been arrested.”,Facebook posts,Fake
Madison Czopek,"“The gay dating app Grindr says if Florida doesn’t stop passing homophobic and transphobic laws, they’ll reveal every Republican legislator and party official who secretly uses the app.”",Instagram posts,Fake
Samantha Putterman,“Congress has officially banned TikTok.”,Tweets,Fake
Loreben Tuquero,"The Nashville, Tennessee, school shooter was Samantha Hyde.",Facebook posts,Fake
D.L. Davis,"The money for upgrades to the Milwaukee Brewers stadium in Evers’ budget is ""a bipartisan plan.""",Tony Evers,Fake
Tom Kertscher,“Trump just shared a bombshell letter from Stormy Daniels debunking DA Bragg's case.”,Facebook posts,Fake
Loreben Tuquero,Manhattan District Attorney Alvin Bragg announced that his office “has decided to drop all charges against Donald Trump.”,TikTok posts,Fake
Jeff Cercone,Photo shows Pennsylvania Sen. John Fetterman has a body double.,Facebook posts,Fake
Madison Czopek,"“At a top robotics company in Japan this week, four robots being developed for military applications killed 29 humans in the lab.”",Facebook posts,Fake
Laura Schulte,"As a sitting Supreme Court justice, Daniel Kelly recused himself from a case, then “he pocketed $20,000 in contributions” from the plaintiff and family members and “unrecused himself so he could judge the case.”",Janet Protasiewicz,Real
Maria Ramirez,"Violent crime in Manhattan is ""now at a record level.""",Donald Trump,Fake
Loreben Tuquero,“No one got (a) dime” from the $70 million raised for the Florida Disaster Fund.,Tweets,Fake
Madison Czopek,Silicon Valley Bank “donated $73M to 'BLM Movement'”,Facebook posts,Fake
Gabrielle Settles,Video shows Elon Musk saying he bought Twitter and unblocked Andrew Tate’s Twitter account because “we need to escape the suppression from the matrix and expose the global elites.”,Facebook posts,Fake
Loreben Tuquero,“You can get vaccinated by sleeping with somebody who is already jabbed” with an mRNA vaccine. “It’s called shedding.”,Instagram posts,Fake
Ciara O'Rourke,Charles Darwin predicted a sub-species of humans “will deny biology” and “attempt to undo the centuries of human development by rewriting history.”,Viral image,Fake
Matthew Crowley,“We cut Black child poverty in half in 2021 because of the child tax credit.”,Joe Biden,Real
Ciara O'Rourke,TV host “Dr. Phil” endorsed a “2023 seniors benefits program.”,Facebook posts,Fake
Ciara O'Rourke,Former President Donald Trump said “any indictment of me is an indictment of you.”,Viral image,Fake
Ciara O'Rourke,Video shows “Trump supporters lining up on Fifth Ave in Manhattan on Sunday.”,Facebook posts,Fake
Ciara O'Rourke,Former President Donald Trump is the “current sitting” commander in chief.,Facebook posts,Fake
Ciara O'Rourke,Former President Donald Trump issued a statement threatening to leak “interesting videos” of House Speaker Kevin McCarthy.,Viral image,Fake
Ciara O'Rourke,Joe Biden was the first president in 100 years to unsuccessfully sing the alphabet song.,Instagram posts,Fake
Ciara O'Rourke,Elon Musk tweeted he would “buy Joint Commission and let nurses have drinks at their station.”,Viral image,Fake
Ciara O'Rourke,Photo shows Magic Johnson donating blood “to help underprivileged communities help fight COVID-19.”,Viral image,Fake
Ciara O'Rourke,"Former President Donald Trump tweeted, “The storm is upon us.”",Viral image,Fake
Ciara O'Rourke,Angelina Jolie is dead.,Bloggers,Fake
Gabrielle Settles,Says President Joe Biden was recorded talking about bank collapse.,TikTok posts,Fake
Samantha Putterman,“BREAKING: ANTHONY FAUCI is set to be arrested!!!”,Instagram posts,Fake
Ciara O'Rourke,Photo shows former President Donald Trump detained by police.,Tweets,Fake
Louis Jacobson,"""Half the kids in this country, when they graduate, can’t read their diploma.”",Tommy Tuberville,Fake
Aarón Torres,"""Businesses large and small have led Texas to be ranked the number one state for business every year that I’ve been governor.""",Greg Abbott,Real
Grace Abels,"“USA gives final warning to Uganda to legalize homosexuality,” or no aid.",Facebook posts,Fake
Madeline Heim,"Under a GOP bill on cash bail, ""a large quantity of people who are accused of crimes, including anyone who even witnesses certain crimes, could now be detained and subject to bail.""",Darrin Madison,Real
Louis Jacobson,"""The First Amendment doesn’t allow you to willingly lie.""",Whoopi Goldberg,Fake
Samantha Putterman,Kari Lake called Trump the “fattest president since Taft” in a 2016 tweet.,Tweets,Fake
Andy Nguyen,"""We’re just burning 300 gallons of jet fuel to de-ice this clean energy wind turbine … that needs 80 gallons of synthetic oil to operate.""",Facebook posts,Fake
Gabrielle Settles,Monster Energy’s logo uses a sign of the anti-Christ as part of its marketing effort.,Facebook posts,Fake
Amy Sherman,A $2 million grant for Georgia’s DeKalb County amounts to a “private takeover of election offices.”,Facebook posts,Fake
Amy Sherman,“More cops are killed responding to domestic violence calls than anything else.”,Joe Biden,Fake
Ciara O'Rourke,“Elon Musk bans Greta Thunberg from Twitter.”,Bloggers,Fake
Samantha Putterman,Walgreens’ position “has always been” to “dispense Mifepristone in any jurisdiction where it is legally permissible to do so.”,Walgreens,Real
Yacob Reyes,"""Ron DeSantis wants to raise the retirement age to 70.""",DeSantis Watch,Fake
Ciara O'Rourke,“Russian dementia care facilities are using Biden on their poster.”,Viral image,Fake
Ciara O'Rourke,“Clinton ally mysteriously dies.”,Facebook posts,Fake
Loreben Tuquero,Photos of the Statue of Liberty taken in 1920 and 2020 show that the sea level hasn’t changed.,Instagram posts,Fake
Ciara O'Rourke,Video shows U.S. Secret Service agents are demons.,Viral image,Fake
Ciara O'Rourke,“Emergency injunction and tribunal order was served to WHO … to immediately cease and desist a criminal conspiracy to commit war crimes.”,Viral image,Fake
Paul Specht,“The left is determined to erase Mount Rushmore from our history books.”,North Carolina Republican Party,Fake
Ciara O'Rourke,Audio captures former Presidents Donald Trump and Barack Obama debating Michelle Obama’s gender.,Viral image,Fake
D.L. Davis,"""Wisconsin has seen over 63 billion dollars of federal pandemic-related funding funnel into our state over (Gov. Tony Evers') tenure.""",Joan Ballweg,Real
Ciara O'Rourke,"Elon Musk tweeted, “The world is flat.”",Viral image,Fake
Ciara O'Rourke,“The Simpsons” predicted money missing from Bank of America customers’ accounts in January.,Viral image,Fake
Ciara O'Rourke,“Harry could be exiled to Botswana after he was deported from the United States due to an expired visa.”,Facebook posts,Fake
Ciara O'Rourke,“‘The View’ settles with the Rittenhouses for $22 million and a formal apology.”,Bloggers,Fake
Amy Sherman,"Democrats ""want to ban gas powered cars and gas stoves.”",Nikki Haley,Real
Gabrielle Settles,"The 2017 Unite the Right rally in Charlottesville, Virginia, was “an American intel op against Trump.”",Scott Adams,Fake
Madison Czopek,Video shows that certain drinks can “test positive” for COVID-19 when using at-home COVID-19 tests.,Facebook posts,Fake
Paul Specht,Wake County is the only large county in North Carolina that elects its commissioners at-large countywide.,Erin Paré,Real
Ciara O'Rourke,The White House Visitor Center is displaying a photo of a fake President Joe Biden.,Facebook posts,Fake
Ciara O'Rourke,President Joe Biden is “in Gitmo.”,Facebook posts,Fake
Conor Amendola,"Energy Secretary Jennifer Granholm met ""with the radical green energy group behind the gas stove ban,"" which ""has ties to the"" Chinese Communist Party.",Nicholas Langworthy,Fake
Amy Sherman,"The 2020 election could not have been fair because “Los Angeles County agreed, during litigation, that there were 1.2 million ineligible voters after the election.”",Donald Trump,Fake
Yacob Reyes,"""$1 of every $3 (Ron DeSantis) spends comes from the federal government.""",Fentrice Driskell,Real
Ciara O'Rourke,“Elon Musk to acquire Facebook soon.”,Bloggers,Fake
Madison Czopek,"Because of daylight saving time, “NO alarm set for the 2:00 a.m. hour will go off” on March 12.",Chain email,Real
Ciara O'Rourke,“Ashli Babbitt is alive and well.”,Instagram posts,Fake
Ciara O'Rourke,Video shows Elon Musk endorsing “an anti-aging remedy.”,Viral image,Fake
Ciara O'Rourke,Elon Musk banned U.S. Rep. Alexandria Ocasio-Cortez from Twitter.,Facebook posts,Fake
Ciara O'Rourke,Vladimir Putin “orders destruction of all COVID-19 vaccines in Russia.”,Bloggers,Fake
Ciara O'Rourke,Bill Gates claims to be a “valid representative of the pharmaceutical industry” because he “read a lot of books about that topic.”,Viral image,Fake
Ciara O'Rourke,“Crowd erupts as Chip Roy grills Kamala Harris as she lies in Congress” in video.,Facebook posts,Fake
Ciara O'Rourke,“The January 6 committee disbanded immediately after the new footage was released.”,Facebook posts,Fake
Cameron Carr,New York City Mayor Eric Adams proposes to “ban chocolate milk.”,Elise Stefanik,Real
Elizabeth Egan,“Lifetime earnings of someone with a college degree is over a million dollars more than those entering the workforce without one.”,Stanley Litow,Real
Maria Ramirez,“We banned transgender” people from serving in the military.,Donald Trump,Real
Tom Kertscher,"""The Biden administration is floating a new” climate strategy: Don't leave your house.""",Washington Free Beacon,Fake
Ciara O'Rourke,“Bill Gates arrest warrant issued in Philippines for ‘premeditated murder’ linked to vaccine roll out.”,Instagram posts,Fake
Ciara O'Rourke,U.S. Sen. Josh Hawley made U.S. Attorney General Merrick Garland cry at a committee hearing.,Facebook posts,Fake
Grace Abels,"“The youth suicide rate has increased exponentially alongside trans affirmation. Trans affirmation causes the suicide rate, not the other way around.”",Matt Walsh,Fake
Madison Czopek,Capitol Police officers “helped” QAnon Shaman Jacob Chansley and “acted as his tour guides.”,Tucker Carlson,Fake
Gabrielle Settles,"“The five people that died in that plane crash … were supposed to go to Ohio to test the water, the soil and the air quality in East Palestine.”",Facebook posts,Fake
Ciara O'Rourke,The United Kingdom’s “Parliament closed its borders to prevent Harry and Meg from flying to the UK in order to protect the king.”,Facebook posts,Fake
Laura Schulte,“Tammy Baldwin wants to take away” Medicare and Social Security.,National Republican Senatorial Committee,Fake
Madison Czopek,“The moon is a habitable place.”,Facebook posts,Fake
Gabrielle Settles,“Breaking: John Fetterman RESIGNATION Announcement.”,Instagram posts,Fake
Madison Czopek,Says Ukrainian President Volodymyr Zelenskyy said he wants America’s “sons and daughters to go die in Ukraine.”,Marjorie Taylor Greene,Fake
Loreben Tuquero,"In Ohio, “there are 75,000 acres of farmland, fertile farmland, that are all now being poured down with acid rain.”",Facebook posts,Fake
Gabrielle Settles,“Muslims by the millions are converting to Christianity.”,Facebook posts,Fake
Loreben Tuquero,"Digital IDs were given to residents in East Palestine, Ohio, “to track long term health problems like difficulty breathing” before the Feb. 3 train derailment.",Instagram posts,Fake
Madison Czopek,"The Justice Department has been “calling parents that are concerned about what their kids are being taught, they are labeling them terrorists.”",Kat Cammack,Fake
Madison Czopek,Sen. Marco Rubio signed a 2021 letter that “supports waivers that would reduce visual track inspections.”,Pete Buttigieg,Fake
Jeff Cercone,Photo of electric charging station “powered by diesel generator” is emblematic of the electric vehicle movement.,Facebook posts,Fake
Ciara O'Rourke,“Official govt docs expose Michelle Obama’s 14 year history as a man.”,Facebook posts,Fake
Jeff Cercone,"""Woody Harrelson’s 60 seconds in the middle of his monologue was cut out of the edits released after the show.”",Instagram posts,Fake
Ciara O'Rourke,“BREAKING Trump preps Marines to stop presidential coup.”,Facebook posts,Fake
Ciara O'Rourke,Video shows President Joe Biden recalling an alien encounter.,Facebook posts,Fake
Tom Kertscher,"Rifles “were involved in 297 deaths” in the U.S. in 2022 and “constipation killed 2,167.”",Instagram posts,Fake
Sara Swann,Drinking or using tap water treated with chlorine is dangerous because “chlorine is a poison.”,Facebook posts,Fake
Ciara O'Rourke,Joe Biden described America as “the foothills of the Himalayas with Xi Jinping.”,Viral image,Fake
Ciara O'Rourke,"Kid Rock tweeted, “Some people wouldn’t recognize tyranny if it slapped a mask on their face, made them stand 6 feet apart, and forced them to take a vaccine for a virus with a 99.8% survival rate.”",Instagram posts,Fake
Loreben Tuquero,"The train that derailed in Ohio was carrying “over 300,000 gallons of a chemical that was banned in 1974.”",Facebook posts,Fake
Ciara O'Rourke,Photos of an apartment building in Kyiv are evidence the war in Ukraine “is fake.”,Viral image,Fake
Ciara O'Rourke,Former President Donald Trump “was the 1st president in U.S. history to acknowledge that children are being sold for sex in the U.S.” while President Joe Biden “rescinded Trump’s executive order that helped combat child sex trafficking.”,Viral image,Fake
Ciara O'Rourke,"Says Elizabeth Warren said, “Allowing Republicans to vote could threaten the integrity of an election.”",Viral image,Fake
Andy Nguyen,“The whole green energy agenda involves more than doubling 10 types of mining.”,Alex Epstein,Real
Jill Terreri,53% of Americans made aware of the Hunter Biden laptop story would have changed their vote in 2020.,Elise Stefanik,Fake
Jeff Cercone,"""The laws governing Agenda 2030 land development allows the government to seize polluted lands and move their residents to … smart cities.”",Instagram posts,Fake
Samantha Putterman,Apple will pay customers $700 for a slowed-down iPhone.,Instagram posts,Fake
Ciara O'Rourke,President Joe Biden was “shot” in a “behind-the-scenes execution.”,Facebook posts,Fake
Ciara O'Rourke,“President Joe Biden admits to faking the election.”,Instagram posts,Fake
Loreben Tuquero,"In Australia, a “17% increase in heart attack deaths” in the first eight months of 2022 is linked to COVID-19 vaccination.",Instagram posts,Fake
Ciara O'Rourke,"“Clinton aide found dead, tied to tree in apparent murder.”",Facebook posts,Fake
Ciara O'Rourke,“Every single one” of former President Barack Obama’s Medal of Freedom recipients in this video “was on Epstein’s flight logs.”,Viral image,Fake
Amy Sherman,Student ID cards are a “source of fraud” at the polls.,Tina Lambert,Fake
Yacob Reyes,"""George Soros has endorsed (Ron) DeSantis for 2024.""",The Gateway Pundit,Fake
Ciara O'Rourke,“Joe Biden changes the name of Black History Month.”,Instagram posts,Fake
Ciara O'Rourke,Big-box stores are refunding and crediting customers for fraud and discrimination.,Facebook posts,Fake
Ciara O'Rourke,“Putin decimates another adrenochrome warehouse in Ukraine.”,Bloggers,Fake
